koi_disposition,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_ror,koi_srho,koi_prad,koi_sma,koi_incl,koi_num_transits,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass,koi_kepmag,koi_gmag,koi_rmag,koi_imag,koi_zmag,koi_jmag,koi_hmag,koi_kmag
CONFIRMED,9.48803557,170.53875,0.146,2.9575,6.16E+02,0.022344,3.20796,2.26,0.0853,89.66,142,5455,4.467,0.14,0.927,0.919,15.347,15.89,15.27,15.114,15.006,14.082,13.751,13.648
CONFIRMED,54.4183827,162.51384,0.586,4.507,8.75E+02,0.027954,3.02368,2.83,0.2734,89.57,25,5455,4.467,0.14,0.927,0.919,15.347,15.89,15.27,15.114,15.006,14.082,13.751,13.648
CANDIDATE,19.89913995,175.850252,0.969,1.7822,1.08E+04,0.154046,7.29555,14.6,0.1419,88.96,56,5853,4.544,-0.18,0.868,0.961,15.436,15.943,15.39,15.22,15.166,14.254,13.9,13.826
FALSE POSITIVE,1.736952453,170.307565,1.276,2.40641,8.08E+03,0.387394,0.2208,33.46,0.0267,67.09,621,5805,4.564,-0.52,0.791,0.836,15.597,16.1,15.554,15.382,15.266,14.326,13.911,13.809
CONFIRMED,2.525591777,171.59555,0.701,1.6545,6.03E+02,0.024064,1.98635,2.75,0.0374,85.41,515,6031,4.438,0.07,1.046,1.095,15.509,16.015,15.468,15.292,15.241,14.366,14.064,13.952
CONFIRMED,11.09432054,171.20116,0.538,4.5945,1.52E+03,0.036779,0.67324,3.9,0.0992,88.11,95,6046,4.486,-0.08,0.972,1.053,15.714,16.234,15.677,15.492,15.441,14.528,14.113,14.132
CONFIRMED,4.13443512,172.97937,0.762,3.1402,6.86E+02,0.026133,0.37377,2.77,0.0514,83.72,240,6046,4.486,-0.08,0.972,1.053,15.714,16.234,15.677,15.492,15.441,14.528,14.113,14.132
CONFIRMED,2.56658897,179.55437,0.755,2.429,2.27E+02,0.014983,0.48909,1.59,0.0374,82.17,355,6046,4.486,-0.08,0.972,1.053,15.714,16.234,15.677,15.492,15.441,14.528,14.113,14.132
FALSE POSITIVE,7.36178958,132.25053,1.169,5.022,2.34E+02,0.183387,0.00485,39.21,0.082,60.92,185,6227,3.986,0,1.958,1.358,12.66,12.999,12.609,12.515,12.48,11.659,11.415,11.396
CONFIRMED,16.06864674,173.621937,0.052,3.5347,4.91E+03,0.062161,3.6659,5.76,0.1158,89.92,69,5031,4.485,0.16,0.848,0.801,15.841,16.559,15.77,15.534,15.368,14.363,13.868,13.785
